donor,path,language,kind,symbol,line,semantic_record_ids,resolution,rationale
Auto_Tor_IP_changer-master_1_,Auto_Tor_IP_changer-master/autoTOR.py,python,function,ma_ip,32,S6-001,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
Auto_Tor_IP_changer-master_1_,Auto_Tor_IP_changer-master/autoTOR.py,python,function,change,36,S6-001,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
OrbotIPtProxy-master,OrbotIPtProxy-master/OrbotTun.go/OrbotTun.go,go,function,InputPacket,19,S6-008,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
OrbotIPtProxy-master,OrbotIPtProxy-master/OrbotTun.go/OrbotTun.go,go,function,StartSocks,32,S6-008,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
OrbotIPtProxy-master,OrbotIPtProxy-master/OrbotTun.go/OrbotTun.go,go,function,StopSocks,44,S6-008,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
OrbotIPtProxy-master,OrbotIPtProxy-master/OrbotTun.go/OrbotTun.go,go,type,PacketFlow,12,S6-008,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
OrbotIPtProxy-master,OrbotIPtProxy-master/OrbotTun.go/dns.go,go,function,NewUDPHandler,25,S6-007,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
OrbotIPtProxy-master,OrbotIPtProxy-master/OrbotTun.go/dns.go,go,function,Connect,29,S6-007,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
OrbotIPtProxy-master,OrbotIPtProxy-master/OrbotTun.go/dns.go,go,function,ReceiveTo,36,S6-007,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
OrbotIPtProxy-master,OrbotIPtProxy-master/OrbotTun.go/dns.go,go,type,udpHandler,16,S6-007,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
RKh-SNI-Spoofing-main_1_,RKh-SNI-Spoofing-main/RKh-SNI-Spoofing-v0.1.2.py,python,class,C,11,S6-004,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
RKh-SNI-Spoofing-main_1_,RKh-SNI-Spoofing-main/RKh-SNI-Spoofing-v0.1.2.py,python,function,resolve,47,S6-004,resolved-by-sixth-order-ledger,Symbol reviewed in its containing mechanism; mixed implementation files are narrowed to the independently meaningful sixth-order record above.
