path,change_type,accountability_class,sixth_order_record_ids,reason,verification_node,fifth_order_sha256,current_sha256
Makefile,modified,verification-wiring,n/a,Attach sixth-order convergence checker to canonical verify-repo,scripts/checks/check_sixth_order_convergence.py#main,2993b0b65a9c5693ca3dd93732ff8ecf9a18b6c960b67fc0a7905d8a6211f05b,6faba2818d5c1307b332abf46bf4f3bd26492c49c5e264493352e5a3760efe20
governance/convergence/sixth-order-adoption-ledger.csv,added,evidence-artifact,n/a,"Sixth-order provenance, accountability, omission or validation evidence",scripts/checks/check_sixth_order_convergence.py#main,n/a,dd5d88a6a68c8ebfce9e8a607f9f2fd3aef4e29366d68bbbca11910b66ab8453
governance/convergence/sixth-order-baseline-files.csv,added,evidence-artifact,n/a,"Sixth-order provenance, accountability, omission or validation evidence",scripts/checks/check_sixth_order_convergence.py#main,n/a,1df0975c9a721ae9b8083b9144cb4da3f532decd092017c10a2cbd8a79bf9cb2
governance/convergence/sixth-order-corpora.json,added,evidence-artifact,n/a,"Sixth-order provenance, accountability, omission or validation evidence",scripts/checks/check_sixth_order_convergence.py#main,n/a,9c242132da51787ed667a03e59e9c069d101979f2bb3836ded8ab29274755604
governance/convergence/sixth-order-directories.csv,added,evidence-artifact,n/a,"Sixth-order provenance, accountability, omission or validation evidence",scripts/checks/check_sixth_order_convergence.py#main,n/a,538263008d7c66c0fbcf866576745423837e33b2663089dc663529d936579402
governance/convergence/sixth-order-donors.csv,added,evidence-artifact,n/a,"Sixth-order provenance, accountability, omission or validation evidence",scripts/checks/check_sixth_order_convergence.py#main,n/a,0c644167b8b5fcf4088df001c9d6db52efdcc41269206bb08cd674f4c0f78102
governance/convergence/sixth-order-modules.csv,added,evidence-artifact,n/a,"Sixth-order provenance, accountability, omission or validation evidence",scripts/checks/check_sixth_order_convergence.py#main,n/a,065045982aee7b5cd5081fc576d1f568044633269707ff008d91c2722cd76f02
governance/convergence/sixth-order-omission-audit.md,added,evidence-artifact,n/a,"Sixth-order provenance, accountability, omission or validation evidence",scripts/checks/check_sixth_order_convergence.py#main,n/a,161545b150012566c4d164d62af5ca85c324d7d9d9c29a10168a68d43f141d8e
governance/convergence/sixth-order-supersession-map.csv,added,evidence-artifact,n/a,"Sixth-order provenance, accountability, omission or validation evidence",scripts/checks/check_sixth_order_convergence.py#main,n/a,adc95b0d41c51f208f059bc4070dfc809b3a905c362abe42d88efac8dd3077a8
governance/convergence/sixth-order-surfaces.csv,added,evidence-artifact,n/a,"Sixth-order provenance, accountability, omission or validation evidence",scripts/checks/check_sixth_order_convergence.py#main,n/a,326199ad0e4bbf770047f7eb3232549f8e423b1559e89b7a913d7ddc6fdcf6b0
governance/convergence/sixth-order-symbols.csv,added,evidence-artifact,n/a,"Sixth-order provenance, accountability, omission or validation evidence",scripts/checks/check_sixth_order_convergence.py#main,n/a,a061a63f2ac021876bdfb513f82d9af5fc1fb73cc1be457017a88bbcb5d53cc7
governance/convergence/sixth-order-target-repairs.csv,added,evidence-artifact,n/a,"Sixth-order provenance, accountability, omission or validation evidence",scripts/checks/check_sixth_order_convergence.py#main,n/a,c5b011bd81944989b3736c425043d551d1d95dfe10885b66f364b4a7a57d0610
governance/convergence/sixth-order-validation.md,added,evidence-artifact,n/a,"Sixth-order provenance, accountability, omission or validation evidence",scripts/checks/check_sixth_order_convergence.py#main,n/a,375cfba9e649662d1e1727fdd6bce7625660fe82b3852a4d42587964a190ab67
scripts/checks/check_fifth_order_convergence.py,modified,historical-evidence-repair,n/a,Layer fifth-order evidence through immutable sixth successor baseline without rewriting fifth receipts,scripts/checks/check_fifth_order_convergence.py#SUCCESSOR_BASELINE,a3b3eb9a5357a19828704c385195baa0135c57f262c339abf15143bc7f17658b,27a5a52905a2e1f07a2b587c75d55dfb89ac7890f5eb96da34312b4e2cfb5145
