donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
luminet-baseline-d73453f,server/internal/proxy/geosite_routing_matcher.go,7c8facb577cdb4f61694809def5b9f6a6be9901d5f0c7f008e37a2f55dc64041,1489,regular,go,implementation,historical-authoritative,HVC-GEOSITE-001,Dynamic override value promoted to internal/domainrouting; proxy surface retained as facade.
luminet-baseline-d73453f,server/internal/proxy/provider_corpus.go,0eb39eee5170f150c19f8ee6296d8a0d28019d29ab589f184b0e58f6e4a6f853,5015,regular,go,implementation,historical-authoritative,HVC-PROVIDER-001;HVC-PROVIDER-003,Duplicate radix/observation implementations recomposed into internal/provider; proxy remains facade.
luminet-baseline-d73453f,server/internal/scanner/network_index.go,c39578516d04578bcdc95671e20ad57692dca86cda4777d3540cae81212013d4,8080,regular,go,implementation,historical-authoritative,HVC-PROVIDER-002;HVC-PROVIDER-004,Scanner duplicate radix/observation logic superseded by canonical provider owner; scanner utilities remain.
luminet-baseline-d73453f,server/internal/proxy/acme_cert_manager.go,68f3b2c14043fc384feca0dd33955ac068918ecfb3f2014439ce7e2c98beb7e0,12556,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-ACME-CERT-MANAGER-68F3B2C1,Promoted to governed labs surface at labs/daemon/proxy/acme_cert_manager.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/ad_tier_proxy.go,32ac7c190737f2597b462bdc4eb4f4f3f85754307311892985e0d76a47a029c5,606,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-AD-TIER-PROXY-32AC7C19,Promoted to governed labs surface at labs/daemon/proxy/ad_tier_proxy.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/amnezia_config.go,6bc816c0524a35b93c51ead0c1b14b3e662a2b3005d1abf65d88d3f1a22fa379,673,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-AMNEZIA-CONFIG-6BC816C0,Promoted to governed labs surface at labs/daemon/proxy/amnezia_config.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/android_proxy_client.go,f709727aed92f64850a88e29e896fb76f9116a7983de6ac726767f36129e7fce,2602,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-ANDROID-PROXY-CLIENT-F709727A,Promoted to governed labs surface at labs/daemon/proxy/android_proxy_client.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/ast.go,6ac2d94ab5f7927d3ea474ec598ecb1f10875105150a486a22d63fb5dd3a49e7,7018,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-AST-6AC2D94A,Promoted to governed labs surface at labs/daemon/proxy/ast.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/autoworker.go,60a2372bcfaf32103300b4a377d94933899ee6168c6ab1fc585bcc1285cb2907,14066,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-AUTOWORKER-60A2372B,Promoted to governed labs surface at labs/daemon/proxy/autoworker.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/awesome_fallback.go,75702acb006febc6a5ab48915ef768e95903ceb35670a432c29e144bf6957eb0,858,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-AWESOME-FALLBACK-75702ACB,Promoted to governed labs surface at labs/daemon/proxy/awesome_fallback.go; exact bytes retained.
luminet-baseline-d73453f,server/internal/proxy/billing_monitor.go,eb58240fd1a2e6005b74e6db20ddf9e29b1c408b6200dc97a77f4b8a8ea3b048,1649,regular,go,implementation,lab-non-authoritative,HVC-LAB-W20-BILLING-MONITOR-EB58240F,Promoted to governed labs surface at labs/daemon/proxy/billing_monitor.go; exact bytes retained.
