donor,path,sha256,size_bytes,classification,authority_status,language,semantic_record_ids,resolution,notes
PattNG,.github/ISSUE_TEMPLATE/bug_cn.md,faf3f645f78db165ff657514f024e4375a6f98ad678e64a6effa787f9afa2440,710,repository-administration,authoritative,markdown,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,.github/ISSUE_TEMPLATE/config.yml,80bd49206b75640bcc3bfbe31b5dd683fc187ffbd7e499b37f2a7ddc5efe22a1,197,repository-administration,authoritative,yaml,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,.github/dependabot.yml,d5f5778c7fee9b964754631b4ca2c28a74270a1c541897a0f96454a7efebc45a,116,repository-administration,authoritative,yaml,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,.github/workflows/build.yml,74e19d3747e9bda546cda4d60848c49a4b3866b927cdafc41aac338e0bf7ccd9,5331,repository-administration,authoritative,yaml,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,.github/workflows/fastlane.yml,838690fe42466d1a7a347907b36109148c4bdef9f85e9427b6c1b9856193e8c0,343,repository-administration,authoritative,yaml,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,.gitignore,359ad4b218613db74a1121916b83f5ba03be1367fb5a00dd44746e97c9a6449f,864,repository-administration,authoritative,,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,.gitmodules,c7506ea9e8b273ae87eef654fffb7e77e2a0c11e9502af094d9410ec40678829,220,repository-administration,authoritative,,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,CR.md,91a9cc22213f9c9884ed1f5581551b9ee5531f7f5aadfe942378ec39d0600596,2885,documentation,authoritative,markdown,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,LICENSE,8ceb4b9ee5adedde47b31e975c1d90c73ad27b6b165a1dcd80c7c545eb65b903,35147,operational,authoritative,,TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
PattNG,README.md,3a81d64b6583be71d7005eb8b7b3bf3776683dfbb12e9c678e0dcf54ced6c14b,4710,documentation,authoritative,markdown,TW-SEM024;TW-SEM033,resolved-by-third-wave-ledger,exhaustively inventoried
