donor,path,language,symbol,kind,line,surface_sha256,semantic_record_ids,resolution,notes
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AngApplication.kt,kotlin,AngApplication,class,14,42d8486dd7bd527d752b17c7784b43c68a019d291723133b93893af8752e6627,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AngApplication.kt,kotlin,application,var,16,42d8486dd7bd527d752b17c7784b43c68a019d291723133b93893af8752e6627,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AngApplication.kt,kotlin,attachBaseContext,fun,23,42d8486dd7bd527d752b17c7784b43c68a019d291723133b93893af8752e6627,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AngApplication.kt,kotlin,workManagerConfiguration,val,28,42d8486dd7bd527d752b17c7784b43c68a019d291723133b93893af8752e6627,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AngApplication.kt,kotlin,onCreate,fun,35,42d8486dd7bd527d752b17c7784b43c68a019d291723133b93893af8752e6627,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,AppConfig,object,4,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,ANG_PACKAGE,val,7,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,TAG,val,8,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,DIR_ASSETS,val,11,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,WEBDAV_BACKUP_DIR,val,13,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,WEBDAV_BACKUP_FILE_NAME,val,14,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,ANG_CONFIG,val,17,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,DEFAULT_SUBSCRIPTION_ID,val,20,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_SNIFFING_ENABLED,val,23,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_ROUTE_ONLY_ENABLED,val,24,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_PER_APP_PROXY,val,25,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_PER_APP_PROXY_SET,val,26,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_BYPASS_APPS,val,27,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_LOCAL_DNS_ENABLED,val,28,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_FAKE_DNS_ENABLED,val,29,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_APPEND_HTTP_PROXY,val,30,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_LOCAL_DNS_PORT,val,31,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_VPN_DNS,val,32,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_VPN_BYPASS_LAN,val,33,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_VPN_INTERFACE_ADDRESS_CONFIG_INDEX,val,34,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_VPN_MTU,val,35,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_ROUTING_DOMAIN_STRATEGY,val,36,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_ROUTING_RULESET,val,37,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_MUX_ENABLED,val,38,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_MUX_CONCURRENCY,val,39,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_MUX_XUDP_CONCURRENCY,val,40,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_MUX_XUDP_QUIC,val,41,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_FRAGMENT_ENABLED,val,42,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_FRAGMENT_PACKETS,val,43,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_FRAGMENT_LENGTH,val,44,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_FRAGMENT_INTERVAL,val,45,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_FRAGMENT_MAXSPLIT,val,46,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_OBSERVATORY_LEAST_PING_INTERVAL,val,47,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_OBSERVATORY_LEAST_LOAD_INTERVAL,val,48,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_OBSERVATORY_LEAST_LOAD_METHOD,val,49,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_OBSERVATORY_LEAST_LOAD_SAMPLING,val,50,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,PREF_OBSERVATORY_LEAST_LOAD_TIMEOUT,val,51,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
PattNG,V2rayNG/app/src/main/java/com/v2ray/ang/AppConfig.kt,kotlin,SUBSCRIPTION_UPDATE_TASK_NAME,val,52,75c6a7b38758574ece8eaa2765867090f5bf2ecb11f5a0b69d5f720c96c03b21,TW-SEM033,resolved-by-third-wave-ledger,declaration inventory
