path,change_type,accountability_class,third_wave_record_ids,reason,verification_node,second_order_sha256,current_sha256
Makefile,modified,verification-wiring,n/a,Attach third-wave runtime and convergence gates to canonical verify-repo,scripts/checks/check_third_wave_convergence.py#main,71c2d3592b640e1e583895a68f51ecd4919ac85ba6d8acf3139ba2424053e5b6,ae1df3477686d7730a5ec81b6880d82ef1cc412ebfaae7780b4a589d6211b83f
governance/convergence/third-wave-adoption-ledger.csv,added,convergence-governance,n/a,"Third-wave donor inventory, decisions, validation, and accountability evidence",scripts/checks/check_third_wave_convergence.py#main,n/a,2c8d9ba60227358a8aef1ee15752f44f016ccae17eef1cb04a30adaf3b8db1e5
governance/convergence/third-wave-baseline-files.csv,added,convergence-governance,n/a,"Third-wave donor inventory, decisions, validation, and accountability evidence",scripts/checks/check_third_wave_convergence.py#main,n/a,8ce0fd6e0628ffcde38eaed0be75834176180c786ec6f8ddc4bf020b3deb28ff
governance/convergence/third-wave-corpora.json,added,evidence-corpus,TW-SEM027,Sanitized aggregate PurVPN grammar corpus; no raw endpoints or credentials retained,scripts/checks/check_third_wave_convergence.py#check_corpus,n/a,cde1be9494262a16d4b19189e70570ddf9974aeff2a06f221fddf7066712efde
governance/convergence/third-wave-donors.csv,added,convergence-governance,n/a,"Third-wave donor inventory, decisions, validation, and accountability evidence",scripts/checks/check_third_wave_convergence.py#main,n/a,904eb6a12bb51281b345ff34a5b533fae1a76572697e3c77f8cd19373fdc80f7
governance/convergence/third-wave-surfaces.csv,added,convergence-governance,n/a,"Third-wave donor inventory, decisions, validation, and accountability evidence",scripts/checks/check_third_wave_convergence.py#main,n/a,8836a02315cb68057ad330cc7b26ce456def775bcefc142da75fbae7162275cf
governance/convergence/third-wave-symbols.csv,added,convergence-governance,n/a,"Third-wave donor inventory, decisions, validation, and accountability evidence",scripts/checks/check_third_wave_convergence.py#main,n/a,8b740210c34fbfb781c51407223344e515e715af0b06a612d78073941c352a96
governance/convergence/third-wave-target-repairs.csv,added,target-repair-governance,n/a,Record target-local Hysteria2 runtime repair separately from donor adoption provenance,scripts/checks/check_third_wave_convergence.py#main,n/a,929a2eed96ecc881a41621baac733528a4933f0b4629c4fffac2f62a45e727cb
governance/convergence/third-wave-validation.md,added,convergence-governance,n/a,"Third-wave donor inventory, decisions, validation, and accountability evidence",scripts/checks/check_third_wave_convergence.py#main,n/a,ad422510e6ca8c8478bd80b3d64299d8d2e012f00de30b2f9ff10df6c3daca0a
governance/topology/relocations.json,modified,topology-governance,n/a,Authorize only the two reviewed historical relocations intentionally transformed by third-wave semantics,scripts/checks/verify_repository_topology.py#main,e4aebf7104ea25a98c6df3216ccfe31f3b2e9922560fe231dff8a45228dd98da,ff21f3a1fbc659f7c492734985d3ae9288484defe74089e828452a7f1ac0ba60
scripts/checks/check_peer_convergence.py,modified,historical-evidence-layer,n/a,Preserve the original peer-convergence hash chain through the second-order and third-wave successor deltas,scripts/checks/check_peer_convergence.py#main,b41382a4464e5e085b0a4f76cebd94059bc1773cc59a8f35210cb6e0dbd7cee1,7d1940a7a96bf00bf533486ca1bc45fa54f2eafe8e8dfa69fd32bb1d2fb36cb7
scripts/checks/check_second_order_convergence.py,modified,historical-evidence-layer,n/a,Validate the frozen second-order delivered state against the immutable third-wave baseline instead of the live successor tree,scripts/checks/check_second_order_convergence.py#main,e12bd798997b5b2f09a2a4e59cfe908a89436ee93bdf0870deab68971f147fe8,e9ce265f9cfe847b66c0e4f83ec56c38d964bbb578f041bbcc9273c68ebb0b2b
scripts/checks/check_third_wave_convergence.py,added,verification-tooling,n/a,"Mechanically validate third-wave runtime wiring, provenance, donor accountability, corpus sanitization, and exact target delta",scripts/checks/check_third_wave_convergence.py#main,n/a,e461496fbdc43dc7ce9797e2591a8596b5861f4a593943bd226a39385186af4c
scripts/checks/check_third_wave_runtime.py,added,verification-tooling,n/a,"Mechanically validate third-wave runtime wiring, provenance, donor accountability, corpus sanitization, and exact target delta",scripts/checks/check_third_wave_convergence.py#main,n/a,700129757e0b52debde22a3dc7088a8f15fa6c06be080bb0d50d45a5313a4cd8
src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan.go,modified,semantic-owner,TW-SEM013;TW-SEM014,Bounded SNI diagnostic hardening derived from reviewed peer mechanisms,scripts/checks/check_third_wave_runtime.py#check_runtime,dcae36e54219a31f3acef0e8c1553ac78684d66c26b6442889756817f5fb7423,7ac04c8ad8b24853a2f96a47a8369805b4868e523291a51312984545e28cf64c
src/apps/daemon/internal/analysis/diagnostics/sni_spoof_scan_test.go,modified,acceptance-evidence,TW-SEM013;TW-SEM014,Bounded SNI diagnostic hardening derived from reviewed peer mechanisms,scripts/checks/check_third_wave_runtime.py#check_runtime,8778f8766a6f0f4175e520012e3968f0cb18a48e84f1b1e94e4f0c67e391092c,2bbf829fb1253d013eb12d3c3fb3e10c385b32eaceff4f46877185b6bfcad485
src/apps/daemon/internal/networking/proxyconfig/core_compat.go,added,semantic-owner,TW-SEM011;TW-SEM012,Target-native proxy grammar or core-compatibility owner for third-wave semantics,scripts/checks/check_third_wave_runtime.py#check_runtime,n/a,978c1de0bad6fd6432b6957718016074a666eeefea609aba4f450fc7a59d2475
