wave,component,baseline_path,lab_path,kind,sha256,size_bytes,exported_symbols,imports,status,validation,decision_rationale
20,wave20-acme-cert-manager,server/internal/proxy/acme_cert_manager.go,labs/daemon/proxy/acme_cert_manager.go,production,68f3b2c14043fc384feca0dd33955ac068918ecfb3f2014439ce7e2c98beb7e0,12556,AcmeCertManager;AcmeCertManager.AcmeTLSConfig;AcmeCertManager.GetCertificate;AcmeCertManager.PreflightValidate;AcmeCertManager.Renew;AcmeCertManager.Stop;AcmeCertManager.WithOnDemand;ChallengeStore;ChallengeStore.GetChallengeCert;ChallengeStore.Install;ChallengeStore.Remove;NewAcmeCertManager;NewChallengeStore;NewStealthHandler;PerDomainTLSConfig;StealthHandler;StealthHandler.IsSecret;StealthHandler.ServeHTTP,context;crypto/ecdsa;crypto/elliptic;crypto/rand;crypto/tls;crypto/x509;crypto/x509/pkix;encoding/pem;errors;fmt;github.com/maybeknott/luminet/internal/tls;math/big;net/http;os;path/filepath;sync;sync/atomic;time,lab-reference,hash-verified; no-new-live-symbol-errors-linux-windows-darwin,Unique dormant capability preserved intentionally; not production-authoritative and not imported by the live proxy runtime.
20,wave20-ad-tier-proxy,server/internal/proxy/ad_tier_proxy.go,labs/daemon/proxy/ad_tier_proxy.go,production,32ac7c190737f2597b462bdc4eb4f4f3f85754307311892985e0d76a47a029c5,606,AdTierProxy;AdTierProxy.Knock;NewAdTierProxy,log/slog,lab-reference,hash-verified; no-new-live-symbol-errors-linux-windows-darwin,Unique dormant capability preserved intentionally; not production-authoritative and not imported by the live proxy runtime.
20,wave20-amnezia-config,server/internal/proxy/amnezia_config.go,labs/daemon/proxy/amnezia_config.go,production,6bc816c0524a35b93c51ead0c1b14b3e662a2b3005d1abf65d88d3f1a22fa379,673,AmneziaConfig;AmneziaConfig.Generate;NewAmneziaConfig,log/slog,lab-reference,hash-verified; no-new-live-symbol-errors-linux-windows-darwin,Unique dormant capability preserved intentionally; not production-authoritative and not imported by the live proxy runtime.
20,wave20-android-proxy-client,server/internal/proxy/android_proxy_client.go,labs/daemon/proxy/android_proxy_client.go,production,f709727aed92f64850a88e29e896fb76f9116a7983de6ac726767f36129e7fce,2602,NewV2RayNGPanel;V2RayNGPanel;V2RayNGPanel.GenerateConfig;V2RayNGPanel.OrchestrateFHSInstall;V2RayNGPanel.ProvisionTLS,encoding/json;fmt;log;log/slog;os;os/exec,lab-reference,hash-verified; no-new-live-symbol-errors-linux-windows-darwin,Unique dormant capability preserved intentionally; not production-authoritative and not imported by the live proxy runtime.
20,wave20-ast,server/internal/proxy/ast.go,labs/daemon/proxy/ast.go,production,6ac2d94ab5f7927d3ea474ec598ecb1f10875105150a486a22d63fb5dd3a49e7,7018,Action;Action.String;ActionBlock;ActionDirect;ActionProxy;CIDRMatcher;CIDRMatcher.Match;CIDRMatcher.String;DomainGlobMatcher;DomainGlobMatcher.Match;DomainGlobMatcher.String;Endpoint;Matcher;ParseRuleSet;PortRangeMatcher;PortRangeMatcher.Match;PortRangeMatcher.String;Rule;Rule.Evaluate;RuleSet;RuleSet.Decide;TagMatcher;TagMatcher.Match;TagMatcher.String,fmt;net;path;strconv;strings,lab-reference,hash-verified; no-new-live-symbol-errors-linux-windows-darwin,Unique dormant capability preserved intentionally; not production-authoritative and not imported by the live proxy runtime.
20,wave20-autoworker,server/internal/proxy/autoworker.go,labs/daemon/proxy/autoworker.go,production,60a2372bcfaf32103300b4a377d94933899ee6168c6ab1fc585bcc1285cb2907,14066,AutoWorker;AutoWorker.AddBinding;AutoWorker.AddKVNamespace;AutoWorker.AddRoute;AutoWorker.ClearBindings;AutoWorker.ClearKVNamespaces;AutoWorker.ClearRoutes;AutoWorker.DeployRelease;AutoWorker.GetAccountID;AutoWorker.GetAnalyticsEngineBindings;AutoWorker.GetBinding;AutoWorker.GetBindings;AutoWorker.GetBindingsCount;AutoWorker.GetCompatibilityDate;AutoWorker.GetCompatibilityFlags;AutoWorker.GetD1Bindings;AutoWorker.GetDispatchNamespace;AutoWorker.GetDryRun;AutoWorker.GetEnvironment;AutoWorker.GetKVNamespaces;AutoWorker.GetKVNamespacesCount;AutoWorker.GetLogLevel;AutoWorker.GetMaxRetries;AutoWorker.GetOAuthToken;AutoWorker.GetPlacementMode;AutoWorker.GetR2Bindings;AutoWorker.GetRoutes;AutoWorker.GetRoutesCount;AutoWorker.GetScriptPath;AutoWorker.GetSendLogs;AutoWorker.GetServiceBindings;AutoWorker.GetSubdomain;AutoWorker.GetUsageModel;AutoWorker.GetVersion;AutoWorker.GetWorkerName;AutoWorker.GetZoneID;AutoWorker.RemoveBinding;AutoWorker.RemoveKVNamespace;AutoWorker.RemoveRoute;AutoWorker.SetAccountID;AutoWorker.SetAnalyticsEngineBindings;AutoWorker.SetBindings;AutoWorker.SetCompatibilityDate;AutoWorker.SetCompatibilityFlags;AutoWorker.SetD1Bindings;AutoWorker.SetDispatchNamespace;AutoWorker.SetDryRun;AutoWorker.SetEnvironment;AutoWorker.SetKVNamespaces;AutoWorker.SetLogLevel;AutoWorker.SetMaxRetries;AutoWorker.SetOAuthToken;AutoWorker.SetPlacementMode;AutoWorker.SetR2Bindings;AutoWorker.SetRoutes;AutoWorker.SetScriptPath;AutoWorker.SetSendLogs;AutoWorker.SetServiceBindings;AutoWorker.SetSubdomain;AutoWorker.SetUsageModel;AutoWorker.SetVersion;AutoWorker.SetWorkerName;AutoWorker.SetZoneID;NewAutoWorker,log/slog;sync,lab-reference,hash-verified; no-new-live-symbol-errors-linux-windows-darwin,Unique dormant capability preserved intentionally; not production-authoritative and not imported by the live proxy runtime.
20,wave20-awesome-fallback,server/internal/proxy/awesome_fallback.go,labs/daemon/proxy/awesome_fallback.go,production,75702acb006febc6a5ab48915ef768e95903ceb35670a432c29e144bf6957eb0,858,AwesomeFallbackConfig;AwesomeFallbackConfig.GetFallback;DefaultAwesomeFallback,,lab-reference,hash-verified; no-new-live-symbol-errors-linux-windows-darwin,Unique dormant capability preserved intentionally; not production-authoritative and not imported by the live proxy runtime.
20,wave20-billing-monitor,server/internal/proxy/billing_monitor.go,labs/daemon/proxy/billing_monitor.go,production,eb58240fd1a2e6005b74e6db20ddf9e29b1c408b6200dc97a77f4b8a8ea3b048,1649,BillingMonitor;BillingMonitor.AddDownstream;BillingMonitor.AddUpstream;BillingMonitor.Alert;BillingMonitor.Check;BillingMonitor.Reset;BillingMonitor.Snapshot;NewBillingMonitor,fmt;log/slog;sync,lab-reference,hash-verified; no-new-live-symbol-errors-linux-windows-darwin,Unique dormant capability preserved intentionally; not production-authoritative and not imported by the live proxy runtime.
20,wave20-billing-panel-adapter,server/internal/proxy/billing_panel_adapter.go,labs/daemon/proxy/billing_panel_adapter.go,production,bc13e131e4f34b06930e2e7076f1afc36c568b76bf2c61b2645975347ac2fa48,607,NewV2Board;V2Board;V2Board.ManageSubscriptions,log/slog,lab-reference,hash-verified; no-new-live-symbol-errors-linux-windows-darwin,Unique dormant capability preserved intentionally; not production-authoritative and not imported by the live proxy runtime.
20,wave20-bpb-panel,server/internal/proxy/bpb_panel.go,labs/daemon/proxy/bpb_panel.go,production,674a22b944b276d48dd170241a15e60b8596dddaebcfeed7def3e433c7772688,30590,BPBPanel;BPBPanel.AddDNSServer;BPBPanel.AddIPAddress;BPBPanel.AddProxyConfig;BPBPanel.AuthenticateJWT;BPBPanel.BuildSubscriptionProfile;BPBPanel.CheckTrafficUsage;BPBPanel.ClearDNSServers;BPBPanel.ClearIPAddresses;BPBPanel.ClearProxyConfigs;BPBPanel.ExportConfigJSON;BPBPanel.GenerateHttpLink;BPBPanel.GenerateHysteriaLink;BPBPanel.GenerateJWTToken;BPBPanel.GenerateSSLink;BPBPanel.GenerateSocksLink;BPBPanel.GenerateSubscriptionHeaders;BPBPanel.GenerateTrojanLink;BPBPanel.GenerateTuicLink;BPBPanel.GenerateVLESSLink;BPBPanel.GenerateWarpLink;BPBPanel.GenerateWireguardLink;BPBPanel.GetActiveIPsCount;BPBPanel.GetAllowLANConnection;BPBPanel.GetAntiSanctionDNS;BPBPanel.GetBestVLTRInterval;BPBPanel.GetBypassChina;BPBPanel.GetBypassIran;BPBPanel.GetBypassRussia;BPBPanel.GetCleanIPs;BPBPanel.GetCustomCdnAddrs;BPBPanel.GetCustomCdnHost;BPBPanel.GetCustomCdnSni;BPBPanel.GetDNSServers;BPBPanel.GetDomain;BPBPanel.GetEchServerName;BPBPanel.GetEnableECH;BPBPanel.GetEnableIPv6;BPBPanel.GetEnableTFO;BPBPanel.GetFakeDNS;BPBPanel.GetFingerprint;BPBPanel.GetFragmentIntervalMax;BPBPanel.GetFragmentIntervalMin;BPBPanel.GetFragmentLengthMax;BPBPanel.GetFragmentLengthMin;BPBPanel.GetFragmentMaxSplitMax;BPBPanel.GetFragmentMaxSplitMin;BPBPanel.GetFragmentMode;BPBPanel.GetFragmentPackets;BPBPanel.GetIPAddresses;BPBPanel.GetLocalDNS;BPBPanel.GetLogLevel;BPBPanel.GetOutProxy;BPBPanel.GetPorts;BPBPanel.GetPrefixes;BPBPanel.GetProxyConfig;BPBPanel.GetProxyConfigKeys;BPBPanel.GetProxyConfigsCount;BPBPanel.GetProxyIPMode;BPBPanel.GetProxyIPs;BPBPanel.GetProxySettings;BPBPanel.GetRemoteDNS;BPBPanel.GetRemoteDnsHost;BPBPanel.GetSubscribersCount;BPBPanel.GetTRConfigs;BPBPanel.GetTrafficLimit;BPBPanel.GetTrojanConfigTemplate;BPBPanel.GetUUID;BPBPanel.GetUpstreamProxy;BPBPanel.GetVLConfigs;BPBPanel.GetVLESSConfigTemplate;BPBPanel.GetVersion;BPBPanel.GetWarpConfigTemplate;BPBPanel.HasProxyConfigKey;BPBPanel.ImportConfigJSON;BPBPanel.IncrementSubscribers;BPBPanel.IsDNSServerRegistered;BPBPanel.IsIPRegistered;BPBPanel.RemoveDNSServer;BPBPanel.RemoveIPAddress;BPBPanel.RemoveProxyConfig;BPBPanel.ResetBPBPanelPreset;BPBPanel.ResetPassword;BPBPanel.ResetSubscribers;BPBPanel.SetAllowLANConnection;BPBPanel.SetAntiSanctionDNS;BPBPanel.SetBestVLTRInterval;BPBPanel.SetBypassChina;BPBPanel.SetBypassIran;BPBPanel.SetBypassRussia;BPBPanel.SetCleanIPs;BPBPanel.SetCustomCdnAddrs;BPBPanel.SetCustomCdnHost;BPBPanel.SetCustomCdnSni;BPBPanel.SetDefaultDNSServers;BPBPanel.SetDomain;BPBPanel.SetEchServerName;BPBPanel.SetEnableECH;BPBPanel.SetEnableIPv6;BPBPanel.SetEnableTFO;BPBPanel.SetFakeDNS;BPBPanel.SetFingerprint;BPBPanel.SetFragmentIntervalMax;BPBPanel.SetFragmentIntervalMin;BPBPanel.SetFragmentLengthMax;BPBPanel.SetFragmentLengthMin;BPBPanel.SetFragmentMaxSplitMax;BPBPanel.SetFragmentMaxSplitMin;BPBPanel.SetFragmentMode;BPBPanel.SetFragmentPackets;BPBPanel.SetLocalDNS;BPBPanel.SetLogLevel;BPBPanel.SetOutProxy;BPBPanel.SetPorts;BPBPanel.SetPrefixes;BPBPanel.SetProxyIPMode;BPBPanel.SetProxyIPs;BPBPanel.SetRemoteDNS;BPBPanel.SetRemoteDnsHost;BPBPanel.SetTRConfigs;BPBPanel.SetTrafficLimit;BPBPanel.SetTrojanConfigTemplate;BPBPanel.SetUUID;BPBPanel.SetUpstreamProxy;BPBPanel.SetVLConfigs;BPBPanel.SetVLESSConfigTemplate;BPBPanel.SetVersion;BPBPanel.SetWarpConfigTemplate;BPBPanel.UpdateProxySettings;BPBPanel.ValidateDomain;BPBPanel.ValidateUUID;BPBPanel.VerifyBPBPanelPreset;BPBProxySettings;NewBPBPanel,crypto/hmac;crypto/rand;crypto/sha256;encoding/base64;encoding/json;fmt;strings;sync;time,lab-reference,hash-verified; no-new-live-symbol-errors-linux-windows-darwin,Unique dormant capability preserved intentionally; not production-authoritative and not imported by the live proxy runtime.
