original_path,lab_path,bytes,sha256
desktop/android/README.md,labs/desktop/platform-alternates/android/README.md,94,6d7a47a5e6ab8704976680548cd198d33918e175fa93b6e96e589144c40b4d3a
desktop/android/hysteria2_jni.go,labs/desktop/platform-alternates/android/hysteria2_jni.go,1988,6c1b09c65b19b28b0e2ed22fa22398595554fdc82bca3fc652400f0af6f411f0
desktop/android/hysteria_jni.go,labs/desktop/platform-alternates/android/hysteria_jni.go,2043,a7846e630fc1aa9567dd71845a7d177004bfcff942106dcce382abbfa309597f
desktop/android/libxray_jni.go,labs/desktop/platform-alternates/android/libxray_jni.go,1905,ad8d3524bc17ffde39e5a306db69a66404cfcf8dedd78b3f3f160bd5d2fe46ee
desktop/android/singbox_android_jni.go,labs/desktop/platform-alternates/android/singbox_android_jni.go,1962,44b335270c6dfbdae7e41e8cd9395d2d5eeffcbf0a9a43331d3b82b737582569
desktop/android/telephony_diagnostic.go,labs/desktop/platform-alternates/android/telephony_diagnostic.go,2892,d014c936ef22171ae26e273b7a8593cdb5133e12296441a354dc33f6715786e4
desktop/android/warp_flet_client.py,labs/desktop/platform-alternates/android/warp_flet_client.py,371,da5fb7d73e031a93ecbf5c50be1901b5d35d9f2fa3d295f4c1c845090def7278
desktop/android/zedsecure_client.go,labs/desktop/platform-alternates/android/zedsecure_client.go,3722,625c0917ddbf95394bf9aeec338c1feff46455b71fc138fa5c846a69feecbec0
desktop/android/zygisk_hook_android.cpp,labs/desktop/platform-alternates/android/zygisk_hook_android.cpp,1287,0e6a1161bc3ab6eec87c7e8c5c887386e2cf5d67a13dc9b41bc69bb173ff7583
desktop/internal/gui/layout_builder.go,labs/desktop/platform-alternates/gui/layout_builder.go,1459,0c68e611f4a4231beeac6ef9c4df5523fa554e7858477db10402ddc0251e05bd
desktop/internal/gui/layout_builder_test.go,labs/desktop/platform-alternates/gui/layout_builder_test.go,976,d03b14d16a21d17fa38d83f5ddd343f5e6b3259175a3d1abe92cce86f9abed7f
desktop/ios/surge_pro_extensions.swift,labs/desktop/platform-alternates/ios/surge_pro_extensions.swift,294,00946497c6d2138d9ce39f107dc6108f70656c1cb0c041e62ed46c7bc377c772
desktop/linux/openwrt_luci_app.sh,labs/desktop/platform-alternates/linux/openwrt_luci_app.sh,223,43979ef059b7b635c1ef52e2cc891513ed8b142dfcb3033c8e09c55936dbc858
desktop/linux/opnsense_shadowsocks.sh,labs/desktop/platform-alternates/linux/opnsense_shadowsocks.sh,233,076e6f877001d03be51369fb5b64ee91cd2c0b247409d8de4f3755e3036b58b0
desktop/linux/payload_editor.go,labs/desktop/platform-alternates/linux/payload_editor.go,3624,debd5d549d9dc43496cf23964d50193d833593f71771982a7b32ca3a4e25cfe4
desktop/linux/rlimit_unix.go,labs/desktop/platform-alternates/linux/rlimit_unix.go,871,fe4974931959a418e79fee7985aee7349873686a1f82a48af1049c0f636e83b5
desktop/linux/rlimit_unsupported.go,labs/desktop/platform-alternates/linux/rlimit_unsupported.go,327,002ae694e9a30bb4d90a969a1b6a4f6ba8f71aa3dbed79520e8281bff42f1570
desktop/linux/v2raya_web_gui.sh,labs/desktop/platform-alternates/linux/v2raya_web_gui.sh,197,ca6d73b76faea394b2952bd6a79ff3a6f69010ebcb965cc6ab125d22ecee9fb3
desktop/mac/gps_simulator.swift,labs/desktop/platform-alternates/mac/gps_simulator.swift,272,2ff851caf1bc7921e2a9e8258592aeed6174d02775a6c07e12c25ddc64a34455
desktop/mac/v2rayu_client.swift,labs/desktop/platform-alternates/mac/v2rayu_client.swift,263,a007d4f10efa35d0d20d4070dfcce58aa192c2e6ddfe2a69b0c824f2dafa0aa7
desktop/manager.pyw,labs/desktop/platform-alternates/manager.pyw,1019,8faa5e1c79a2be5839d6077864136c9523ee515b99e3c219bffcba11437952c8
desktop/sys/sysproxy_win.cpp,labs/desktop/platform-alternates/sys/sysproxy_win.cpp,303,1b5c102fce65c7428051ab2adbdf9160cdbbad5aef42c7ac357613a3f8d6ae99
desktop/sys/wintun_driver.c,labs/desktop/platform-alternates/sys/wintun_driver.c,289,f37cf8c09d2e3a9b0347aa4ca48de5ace44f72de17a846f46a253d86244138d7
desktop/windows/vpn_proxy_client.cs,labs/desktop/platform-alternates/windows/vpn_proxy_client.cs,436,f024eb24a314a49d525474b4fc43c97d96d1bbae865dd8fba8d792873754427e
